row,column,value
1,Fútbol,Hace
1,Baloncesto,No hace
1,Voleibol,No hace
1,Tenis,No hace
1,Atletismo,No hace
1,Boxeo,No hace
1,Deportes Motorizados,No hace
1,Golf,No hace
1,Ciclismo,No hace
1,Balonmano,No hace
1,"Entrenamiento físico (gimnasio, calistenia)",Hace
1,Ninguno de los deportes mencionados,No hace
2,Fútbol,Hace
2,Baloncesto,No hace
2,Voleibol,No hace
2,Tenis,No hace
2,Atletismo,Hace
2,Boxeo,No hace
2,Deportes Motorizados,No hace
2,Golf,No hace
2,Ciclismo,No hace
2,Balonmano,No hace
2,"Entrenamiento físico (gimnasio, calistenia)",No hace
2,Ninguno de los deportes mencionados,No hace
3,Fútbol,No hace
3,Baloncesto,No hace
3,Voleibol,No hace
3,Tenis,No hace
3,Atletismo,No hace
3,Boxeo,No hace
3,Deportes Motorizados,No hace
3,Golf,No hace
3,Ciclismo,No hace
3,Balonmano,No hace
3,"Entrenamiento físico (gimnasio, calistenia)",Hace
3,Ninguno de los deportes mencionados,No hace
4,Fútbol,No hace
4,Baloncesto,No hace
4,Voleibol,No hace
4,Tenis,No hace
4,Atletismo,No hace
4,Boxeo,No hace
4,Deportes Motorizados,No hace
4,Golf,No hace
4,Ciclismo,No hace
4,Balonmano,No hace
4,"Entrenamiento físico (gimnasio, calistenia)",No hace
4,Ninguno de los deportes mencionados,Hace
5,Fútbol,No hace
5,Baloncesto,No hace
5,Voleibol,No hace
5,Tenis,No hace
5,Atletismo,No hace
5,Boxeo,No hace
5,Deportes Motorizados,No hace
5,Golf,No hace
5,Ciclismo,No hace
5,Balonmano,No hace
5,"Entrenamiento físico (gimnasio, calistenia)",Hace
5,Ninguno de los deportes mencionados,No hace
6,Fútbol,No hace
6,Baloncesto,No hace
6,Voleibol,No hace
6,Tenis,No hace
6,Atletismo,No hace
6,Boxeo,No hace
6,Deportes Motorizados,No hace
6,Golf,No hace
6,Ciclismo,No hace
6,Balonmano,No hace
6,"Entrenamiento físico (gimnasio, calistenia)",No hace
6,Ninguno de los deportes mencionados,Hace
7,Fútbol,No hace
7,Baloncesto,No hace
7,Voleibol,No hace
7,Tenis,No hace
7,Atletismo,No hace
7,Boxeo,No hace
7,Deportes Motorizados,No hace
7,Golf,No hace
7,Ciclismo,No hace
7,Balonmano,No hace
7,"Entrenamiento físico (gimnasio, calistenia)",No hace
7,Ninguno de los deportes mencionados,Hace
8,Fútbol,No hace
8,Baloncesto,No hace
8,Voleibol,No hace
8,Tenis,No hace
8,Atletismo,No hace
8,Boxeo,No hace
8,Deportes Motorizados,No hace
8,Golf,No hace
8,Ciclismo,No hace
8,Balonmano,Hace
8,"Entrenamiento físico (gimnasio, calistenia)",No hace
8,Ninguno de los deportes mencionados,No hace
9,Fútbol,No hace
9,Baloncesto,No hace
9,Voleibol,No hace
9,Tenis,No hace
9,Atletismo,No hace
9,Boxeo,No hace
9,Deportes Motorizados,No hace
9,Golf,No hace
9,Ciclismo,No hace
9,Balonmano,No hace
9,"Entrenamiento físico (gimnasio, calistenia)",Hace
9,Ninguno de los deportes mencionados,No hace
10,Fútbol,Hace
10,Baloncesto,Hace
10,Voleibol,Hace
10,Tenis,No hace
10,Atletismo,No hace
10,Boxeo,No hace
10,Deportes Motorizados,No hace
10,Golf,No hace
10,Ciclismo,No hace
10,Balonmano,No hace
10,"Entrenamiento físico (gimnasio, calistenia)",No hace
10,Ninguno de los deportes mencionados,No hace
11,Fútbol,No hace
11,Baloncesto,No hace
11,Voleibol,No hace
11,Tenis,No hace
11,Atletismo,No hace
11,Boxeo,No hace
11,Deportes Motorizados,No hace
11,Golf,No hace
11,Ciclismo,No hace
11,Balonmano,No hace
11,"Entrenamiento físico (gimnasio, calistenia)",No hace
11,Ninguno de los deportes mencionados,Hace
12,Fútbol,No hace
12,Baloncesto,No hace
12,Voleibol,No hace
12,Tenis,Hace
12,Atletismo,No hace
12,Boxeo,No hace
12,Deportes Motorizados,No hace
12,Golf,No hace
12,Ciclismo,Hace
12,Balonmano,No hace
12,"Entrenamiento físico (gimnasio, calistenia)",Hace
12,Ninguno de los deportes mencionados,No hace
13,Fútbol,No hace
13,Baloncesto,No hace
13,Voleibol,No hace
13,Tenis,Hace
13,Atletismo,No hace
13,Boxeo,No hace
13,Deportes Motorizados,No hace
13,Golf,No hace
13,Ciclismo,No hace
13,Balonmano,No hace
13,"Entrenamiento físico (gimnasio, calistenia)",No hace
13,Ninguno de los deportes mencionados,No hace
14,Fútbol,No hace
14,Baloncesto,No hace
14,Voleibol,No hace
14,Tenis,No hace
14,Atletismo,No hace
14,Boxeo,No hace
14,Deportes Motorizados,No hace
14,Golf,No hace
14,Ciclismo,No hace
14,Balonmano,No hace
