criteria,position,count
Mejorar mi salud y bienestar,1,12
Mejorar mi salud y bienestar,2,5
Mejorar mi salud y bienestar,3,1
Mejorar mi salud y bienestar,4,0
Mejorar mi salud y bienestar,5,2
Diversión y entretenimiento,1,2
Diversión y entretenimiento,2,6
Diversión y entretenimiento,3,5
Diversión y entretenimiento,4,6
Diversión y entretenimiento,5,1
Reducir el estrés,1,1
Reducir el estrés,2,4
Reducir el estrés,3,2
Reducir el estrés,4,7
Reducir el estrés,5,6
Socializar y hacer nuevos amigos,1,2
Socializar y hacer nuevos amigos,2,2
Socializar y hacer nuevos amigos,3,6
Socializar y hacer nuevos amigos,4,1
Socializar y hacer nuevos amigos,5,9
Competir y desafiarme a mí mismo,1,3
Competir y desafiarme a mí mismo,2,3
Competir y desafiarme a mí mismo,3,6
Competir y desafiarme a mí mismo,4,6
Competir y desafiarme a mí mismo,5,2
