Fútbol,Baloncesto,Voleibol,Tenis,Atletismo,Boxeo,Deportes Motorizados,Golf,Ciclismo,Balonmano,"Entrenamiento físico (gimnasio, calistenia)",Ninguno de los deportes mencionados,De las opciones marcadas anteriormente ¿Cuántos días a la semana practicas estos deportes?,Fútbol,Baloncesto,Voleibol,Tenis,Atletismo,Boxeo,Deportes Motorizados,Golf,Ciclismo,Balonmano,"Entrenamiento físico (gimnasio, calistenia)",¿Cuál es tu principal motivación para practicar los deportes seleccionados?,¿Qué otros deportes practicas?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
Fútbol,,,,,,,,,,"Entrenamiento físico (gimnasio, calistenia)",,4,4,3,3,3,1,3,1,1,1,1,3,"Mejorar mi salud y bienestar,Diversión y entretenimiento,Reducir el estrés,Socializar y hacer nuevos amigos,Competir y desafiarme a mí mismo",,completed,2/5/2025 0:29,,2/5/2025 0:30,f317a16aa8,
Fútbol,,,,Atletismo,,,,,,,,5,4,1,1,1,5,1,1,1,1,1,1,"Socializar y hacer nuevos amigos,Diversión y entretenimiento,Competir y desafiarme a mí mismo,Reducir el estrés,Mejorar mi salud y bienestar","Running, incluye maratones/ medias maratones/ 10k y 5k",completed,1/5/2025 23:34,,1/5/2025 23:36,6ec71ef98c,
,,,,,,,,,,"Entrenamiento físico (gimnasio, calistenia)",,5,1,2,2,1,1,1,1,1,1,1,4,"Reducir el estrés,Mejorar mi salud y bienestar,Competir y desafiarme a mí mismo,Diversión y entretenimiento,Socializar y hacer nuevos amigos",Natación,completed,1/5/2025 23:04,,1/5/2025 23:05,b0723cc9cb,
,,,,,,,,,,,Ninguno de los deportes mencionados,0,2,1,1,1,2,1,2,1,2,1,2,"Mejorar mi salud y bienestar,Competir y desafiarme a mí mismo,Diversión y entretenimiento,Reducir el estrés,Socializar y hacer nuevos amigos",,completed,1/5/2025 22:55,,1/5/2025 22:57,d224c44edc,
,,,,,,,,,,"Entrenamiento físico (gimnasio, calistenia)",,4,1,1,1,1,1,1,1,1,1,1,4,"Mejorar mi salud y bienestar,Reducir el estrés,Diversión y entretenimiento,Competir y desafiarme a mí mismo,Socializar y hacer nuevos amigos",,completed,1/5/2025 22:48,,1/5/2025 22:50,b4ca490e6f,
,,,,,,,,,,,Ninguno de los deportes mencionados,7,1,1,1,1,1,1,1,1,1,1,1,"Mejorar mi salud y bienestar,Socializar y hacer nuevos amigos,Competir y desafiarme a mí mismo,Diversión y entretenimiento,Reducir el estrés",Ajedrez,completed,1/5/2025 22:00,,1/5/2025 22:01,f483b802f3,
,,,,,,,,,,,Ninguno de los deportes mencionados,0,3,2,1,2,1,2,1,1,1,1,1,"Mejorar mi salud y bienestar,Competir y desafiarme a mí mismo,Socializar y hacer nuevos amigos,Reducir el estrés,Diversión y entretenimiento",,completed,1/5/2025 21:50,,1/5/2025 21:52,23a9c97e06,
,,,,,,,,,Balonmano,,,0,1,1,1,1,1,1,1,1,1,1,1,"Mejorar mi salud y bienestar,Reducir el estrés,Diversión y entretenimiento,Competir y desafiarme a mí mismo,Socializar y hacer nuevos amigos",,completed,1/5/2025 21:41,,1/5/2025 21:42,74bd9ddbae,
,,,,,,,,,,"Entrenamiento físico (gimnasio, calistenia)",,4,1,1,3,1,1,4,1,1,1,1,4,"Competir y desafiarme a mí mismo,Mejorar mi salud y bienestar,Reducir el estrés,Diversión y entretenimiento,Socializar y hacer nuevos amigos",,completed,1/5/2025 21:39,,1/5/2025 21:41,0aaacf02b6,
Fútbol,Baloncesto,Voleibol,,,,,,,,,,2,3,3,3,3,4,4,2,3,1,2,3,"Mejorar mi salud y bienestar,Diversión y entretenimiento,Socializar y hacer nuevos amigos,Competir y desafiarme a mí mismo,Reducir el estrés",,completed,1/5/2025 21:01,,1/5/2025 21:02,89c790e265,
